,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (BCI = Indice de l'état du pont),,,,,,,,,,,,,,,
,,LOCATION INFORMATION,,,STRUCTURE INFORMATION,,,,,,,,,,,ADMINISTRATIVE INFORMATION,,,,,,,,,,,,,,,,,,,
ID,STRUCTURE,NOM DE LA ROUTE,LATITUDE,LONGITUDE,CATÉGORIE,SOUS-CATÉGORIE 1,TYPE 1,MATÉRIEL 1,ANNÉE DE CONSTRUCTION,DERNIÈRE RÉFECTION MAJEURE,DERNIÈRE RÉFECTION MINEURE,NOMBRE DE TRAVÉES,RENSEIGNMENTS SUR LES TRAVÉES,LONGUEUR DU TABLIER,LARGEUR TOTALE,RÉGION,COMTÉ,ÉTAT,PROPRIÉTAIRE,DATE DE LA DERNIÈRE INSPECTION,INDICE DE L'ETAT DU PONT ACTUEL,,,,,,,,,,,,,,
ID,STRUCTURE,HWY NAME,LATITUDE,LONGITUDE,CATEGORY,SUBCATEGORY 1,TYPE 1,MATERIAL 1,YEAR BUILT,LAST MAJOR REHAB ,"LAST
MINOR REHAB",# OF SPANS,SPAN DETAILS,DECK LENGTH,WIDTH TOTAL,REGION,County,OPERATION STATUS,OWNER,LAST INSPECTION DATE,"CURRENT
BCI",2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
 1 -  32/,Highway 24 Underpass at Highway 403,403,43.167233,-80.275567,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,2014,2009,4,Total=64  (1)=12;(2)=19;(3)=21;(4)=12;,65,25.4,West,BRANT,Open to traffic,Provincial,04/13/2012,72.3,,72.3,,69.5,,70,,70.3,,70.5,,70.7,72.9,
 1 -  43/,WEST STREET UNDERPASS,403,43.164531,-80.251582,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1963,2014,2007,4,Total=60.4  (1)=12.2;(2)=18;(3)=18;(4)=12.2;,61,18.4,West,BRANT,Open to traffic,Provincial,04/13/2012,71.5,,71.5,,68.1,,69,,69.4,,69.4,,70.3,73.3,
 1 -  44/,NORTH PARK STEET UNDERPASS,403,43.165918,-80.263791,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1962,2013,2009,4,Total=60.4  (1)=12.2;(2)=18;(3)=18;(4)=12.2;,60.8,18.4,West,BRANT,Open to traffic,Provincial,04/13/2012,71.4,,71.4,,69.9,,67.7,,68.9,,69.1,,69.9,72.8,
 1 -  85/,GURNEY CREEK WHITEMAN BRIDGE,24,43.137489,-80.367297,Bridge,Beam/Girder,Plate I Girder,Steel,2011,,,1,Total=41.2  (1)=41.2;,41.2,14.5,West,BRANT,Open to traffic,Provincial,06/15/2012,99.1,,99.1,,58,,57.3,,58.5,,69.9,,71.5,71.7,
 1 - 139/,BRANT COUNTY RD. #27 OVERPASS,403,43.16781,-80.33827,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1975,2013,,2,Total=60.6  (1)=30.3;(2)=30.3;,61,17.1,West,BRANT,Open to traffic,Provincial,05/02/2012,71.2,,71.2,,70.5,,70.2,,70.7,,70.2,,71.1,71.8,
 1 - 140/,CNR SUBWAY,403,43.171507,-80.310371,Bridge,Frame,Rectangular Beam,Reinforced Cast-In-Place Concrete,1977,,,2,Total=33.52  (1)=16.76;(2)=16.76;,86.1,16.5,West,BRANT,Open to traffic,Provincial,09/11/2012,74.2,,74.2,,73.9,,71.5,,70.5,,70.6,,74.9,74.8,
 1 - 141/1,"HWY. #2 OVERPASS, EBL",403,43.170285,-80.299808,Bridge,Beam/Girder,Plate I Girder,Steel,1965,2013,,4,Total=92  (1)=20;(2)=28;(3)=24;(4)=20;,93.4,15.5,West,BRANT,Open to traffic,Provincial,05/02/2012,69.9,,69.9,,69.2,,69.8,,70,,70,,68,72.4,
